District,Lat,Lon,Counts,SPI6_201609,SPI6_201703,nls_sqkm
Nalbari,26.445,91.441,13,-0.98800737,-0.75375783,2.106246412
Nalgonda,17.208,79.217,7,0.86963767,-2.2691746,9.557159061
Namakkal,11.324,78.045,37,-0.49134368,-2.3612792,14.35597715
Nanded,19.16,77.315,3,1.2762302,-0.38792202,4.768349424
Nandurbar,21.367,74.24,1,0.04711877,1.0056182,3.036382332
Narayanpur,19.738,81.16,13,0.76208997,-0.76078135,0.123220062
Nashik,19.997,73.791,10,0.16566142,0.28537568,6.622034993
Navsari,20.85,72.917,1,-0.2540506,0.9746065,8.506539792
Nawada,24.844,85.51,7,1.8490418,0.24086566,0.860074495
Nayagarh,20.128,85.096,5,-0.07850651,-0.45446238,2.004995438
Neemuch,24.476,74.862,2,1.8661989,2.1423247,3.336057625
Nizamabad,18.672,78.099,5,1.1308383,-0.9021675,10.05437256
North 24 Parganas,22.68,88.651,18,0.15725723,-0.36382833,9.995203442
North Garo Hills,25.904,90.606,2,-0.31032607,-0.2977089,0.814171205
North Goa,15.497,73.901,14,0.31953675,-1.215388,17.9975364
North Tripura,24.302,92.171,12,0.057747878,1.3909252,2.362724688
Nuapada,20.817,82.533,6,-0.43940613,-0.33384907,0.581077499
Osmanabad,18.012,76.329,2,1.0697042,-0.89343613,5.443223338
Pakur,24.634,87.849,5,0.02079728,-1.102548,1.294442909
Palakkad,10.772,76.682,4,-1.8313249,-1.8615105,8.543592253
Palamu,24.096,84.104,13,1.9964522,0.20648977,0.910349809
Palghar,19.418,72.81,2,0.27562666,-0.013520226,9.063911539
Palwal,28.1,77.319,10,1.3550644,-0.41308528,16.02889525
Panchkula,30.724,76.86,46,0.5113551,0.7625328,15.21266088
Panipat,29.377,76.963,59,0.43760496,-0.24753037,21.93065979
Panna,24.779,80.226,2,1.7305429,-1.2451943,1.125088937
Papum Pare,27.087,93.61,9,-0.824655,-0.08489716,1.061829674
Parbhani,19.268,76.771,1,0.9935931,0.017392708,5.941064392
Pashchim Champaran,26.802,84.503,1,0.73896915,0.4624082,1.226613144
Patan,23.773,72.019,4,0.09609976,2.4309301,3.517756797
Pathanamthitta,9.278,76.767,9,-1.4004654,-2.152637,6.738309378
Pathankot,32.271,75.554,4,0.817986,0.6866405,12.7137091
Patiala,30.342,76.397,110,0.59532946,0.4170314,13.28725331
Patna,25.593,85.132,107,1.287413,0.47407272,8.72656013
Perambalur,11.253,78.876,16,0.45597053,-2.341752,8.857440342
Phek,25.7,94.461,1,0.30807662,-0.1962273,0.087824868
Pilibhit,28.644,79.797,10,0.46317753,-0.68102336,1.176960332
Pithoragarh,29.695,80.197,11,0.15517466,-1.0893867,0.636857254
Poonch,33.694,74.114,145,0.010932274,0.4627172,1.590430846
Porbandar,21.642,69.609,3,-0.7780358,1.4428002,6.584089881
Prakasam,15.54,80.056,20,0.3547287,-2.6352048,5.560865362
Puducherry,11.931,79.824,113,0.6158972,-2.8923948,40.62056806
Pudukkottai,10.368,78.967,52,0.37490672,-2.1472352,9.100907274
Pulwama,33.899,74.959,282,0.46586132,0.016465327,3.508836137
Pune,18.511,73.871,28,0.5151956,-0.6234938,14.23322204
Purba Champaran,26.684,84.904,9,0.9937992,0.47486886,1.564481831
Purba Medinipur,22.076,87.786,3,0.57140076,0.28026006,8.73605655
Puri,19.82,85.765,12,0.1990777,-0.60462356,4.214174821
Purnia,25.817,87.506,2,1.5690535,0.31845462,2.868911279
Raichur,16.205,77.356,16,0.7045958,-2.139886,5.987448187
Raipur,21.204,81.672,9,-0.100376345,-0.5170217,16.68067007
Raisen,23.33,77.781,3,1.978204,-1.0318844,2.433338162
Rajgarh,24.008,76.728,1,1.9415901,0.6939194,2.163820547
Rajkot,22.297,70.837,13,-0.7555119,1.6095653,8.58872252
Rajnandgaon,21.202,80.975,9,0.26012328,-0.46065524,4.17169748
Rajouri,33.241,74.257,127,0.4341689,0.9645994,1.957809531
Rajsamand,25.408,73.98,6,1.3567125,2.2595656,6.199955777
Ramanagara,12.722,77.281,1,-1.3125178,-2.3745196,11.42043149
Ramanathapuram,9.365,78.932,59,0.14831212,-1.973969,6.617476937
Ramban,33.311,75.219,42,0.8384596,0.44006303,2.007837656
Ramgarh,23.572,85.609,5,1.4405757,-0.92599106,11.66107527
Rampur,28.81,79.027,5,0.7099231,-0.6833985,5.738171381
Ranchi,23.346,85.33,91,1.3023608,-1.0270832,4.961737489
Ratlam,23.368,75.021,2,2.0074134,1.5883839,2.175835165
Ratnagiri,17.533,73.509,1,0.89347255,-1.5595239,4.59040931
Rayagada,19.195,83.407,14,0.07545054,-0.2749929,1.054754808
Reasi,33.096,74.849,17,0.50420856,0.4548401,1.653696391
Rewa,24.484,81.365,2,1.7898636,-0.9154693,4.666692607
Rewari,28.217,76.537,25,0.6356458,-0.7752697,18.66156577
Ri Bhoi,26.002,91.872,3,-0.974501,-0.43417317,2.047531299
Rohtak,28.916,76.597,46,0.77758694,-0.25668046,13.7551103
